Item ID,Item Name,Purchase Count,Item Price,Total Purchase Value
178,"['Oathbreaker, Last Hope of the Breaking Storm']",12,$4.23,$50.76
145,['Fiery Glass Crusader'],9,$4.58,$41.22
108,"['Extraction, Quickblade Of Trembling Hands']",9,$3.53,$31.77
82,['Nirvana'],9,$4.90,$44.10
19,"['Pursuit, Cudgel of Necromancy']",8,$1.02,$8.16
103,['Singed Scalpel'],8,$4.35,$34.80
75,['Brutality Ivory Warmace'],8,$2.42,$19.36
72,"[""Winter's Bite""]",8,$3.77,$30.16
60,['Wolf'],8,$3.54,$28.32
59,"['Lightning, Etcher of the King']",8,$4.23,$33.84
37,"['Shadow Strike, Glory of Ending Hope']",8,$3.16,$25.28
34,['Retribution Axe'],8,$2.22,$17.76
92,['Final Critic'],8,$4.88,$39.04
53,['Vengeance Cleaver'],7,$2.05,$14.35
110,['Suspension'],7,$1.44,$10.08
7,"['Thorn, Satchel of Dark Souls']",7,$1.33,$9.31
71,['Demise'],7,$1.61,$11.27
117,"['Heartstriker, Legacy of the Light']",7,$1.79,$12.53
159,"['Oathbreaker, Spellblade of Trials']",7,$3.08,$21.56
85,['Malificent Bag'],7,$1.75,$12.25
164,['Exiled Doomblade'],7,$1.63,$11.41
141,['Persuasion'],7,$3.19,$22.33
78,"['Glimmer, Ender of the Moon']",7,$4.40,$30.80
102,['Avenger'],6,$3.44,$20.64
129,"['Fate, Vengeance of Eternal Justice']",6,$1.54,$9.24
93,['Apocalyptic Battlescythe'],6,$1.97,$11.82
54,['Eternal Cleaver'],6,$2.50,$15.00
3,['Phantomlight'],6,$2.49,$14.94
2,['Verdict'],6,$2.48,$14.88
40,['Second Chance'],6,$2.52,$15.12
160,['Azurewrath'],6,$4.40,$26.40
120,['Agatha'],6,$3.08,$18.48
179,"['Wolf, Promise of the Moonwalker']",6,$4.48,$26.88
25,['Hero Cane'],6,$4.35,$26.10
144,['Blood Infused Guardian'],6,$1.94,$11.64
22,['Amnesia'],6,$2.18,$13.08
143,['Frenzied Scimitar'],6,$1.56,$9.36
12,['Dawne'],6,$1.02,$6.12
96,['Blood-Forged Skeletal Spine'],6,$3.09,$18.54
136,['Ghastly Adamantite Protector'],6,$3.58,$21.48
140,['Striker'],5,$2.94,$14.70
138,"['Peacekeeper, Wit of Dark Magic']",5,$4.74,$23.70
137,"['Aetherius, Boon of the Blessed']",5,$3.39,$16.95
88,"['Emberling, Defender of Delusions']",5,$3.75,$18.75
139,"['Mercy, Katana of Dismay']",5,$4.94,$24.70
133,"[""Faith's Scimitar""]",5,$4.09,$20.45
131,['Fury'],5,$1.44,$7.20
65,['Conqueror Adamantite Mace'],5,$4.24,$21.20
128,"['Blazeguard, Reach of Eternity']",5,$4.91,$24.55
73,['Ritual Mace'],5,$2.05,$10.25
181,"[""Reaper's Toll""]",5,$1.66,$8.30
114,['Yearning Mageblade'],5,$3.82,$19.10
87,"['Deluge, Edge of the West']",5,$4.43,$22.15
149,"['Tranquility, Razor of Black Magic']",5,$1.75,$8.75
98,"['Deadline, Voice Of Subtlety']",5,$2.89,$14.45
156,['Soul-Forged Steel Shortsword'],5,$1.77,$8.85
15,['Soul Infused Crystal'],5,$2.96,$14.80
100,['Blindscythe'],5,$3.27,$16.35
20,['Netherbane'],5,$3.27,$16.35
21,['Souleater'],5,$1.10,$5.50
163,['Thunderfury Scimitar'],5,$3.45,$17.25
24,['Warped Fetish'],5,$3.81,$19.05
162,['Abyssal Shard'],5,$2.67,$13.35
161,['Devine'],5,$1.76,$8.80
29,"['Chaos, Ender of the End']",5,$1.98,$9.90
101,['Final Critic'],5,$4.19,$20.95
32,['Orenmir'],5,$1.14,$5.70
11,['Brimstone'],5,$3.65,$18.25
35,['Heartless Bone Dualblade'],5,$3.45,$17.25
155,['War-Forged Gold Deflector'],5,$1.01,$5.05
39,"['Betrayal, Whisper of Grieving Widows']",5,$3.94,$19.70
44,['Bonecarvin Battle Axe'],5,$2.38,$11.90
150,['Deathraze'],5,$2.85,$14.25
46,['Hopeless Ebon Dualblade'],5,$1.33,$6.65
4,"[""Bloodlord's Fetish""]",5,$1.70,$8.50
146,['Warped Iron Scimitar'],5,$3.10,$15.50
80,['Dreamsong'],5,$3.39,$16.95
107,"['Splitter, Foe Of Subtlety']",4,$2.18,$8.72
105,['Hailstorm Shadowsteel Scythe'],4,$3.03,$12.12
111,"[""Misery's End""]",4,$4.89,$19.56
170,['Shadowsteel'],4,$3.97,$15.88
112,['Worldbreaker'],4,$2.60,$10.40
