SN,Purchase Count,Average Purchase Price,Total Purchase Value
Lisosia93,5,$3.79,$18.96
Idastidru52,4,$3.86,$15.45
Chamjask73,3,$4.61,$13.83
Iral74,4,$3.40,$13.62
Iskadarya95,3,$4.37,$13.10
Ilarin91,3,$4.23,$12.70
Ialallo29,3,$3.95,$11.84
Tyidaim51,3,$3.94,$11.83
Lassilsala30,3,$3.84,$11.51
Chadolyla44,3,$3.82,$11.46
Iri67,3,$3.79,$11.37
Inguron55,3,$3.70,$11.11
Siallylis44,3,$3.46,$10.37
Saistyphos30,3,$3.44,$10.33
Phyali88,3,$3.43,$10.30
Strithenu87,3,$3.39,$10.18
Lisim78,3,$3.34,$10.02
Haillyrgue51,3,$3.17,$9.50
Phistym51,2,$4.75,$9.50
Lamil79,2,$4.64,$9.29
Aina42,3,$3.07,$9.22
Saesrideu94,2,$4.59,$9.18
Arin32,2,$4.54,$9.09
Rarallo90,3,$3.02,$9.05
Baelollodeu94,2,$4.51,$9.03
Aelin32,3,$2.99,$8.98
Lisopela58,3,$2.95,$8.86
Saedaiphos46,3,$2.94,$8.83
Reunasu60,2,$4.41,$8.82
Chanastnya43,3,$2.94,$8.82
Raesty92,3,$2.91,$8.73
Sundadar27,2,$4.35,$8.71
Aerithllora36,2,$4.32,$8.64
Hada39,3,$2.86,$8.57
Chamilsala65,2,$4.28,$8.55
Silaera56,3,$2.83,$8.48
Frichocesta66,2,$4.19,$8.37
Chadista79,2,$4.17,$8.35
Pheodaisun84,3,$2.77,$8.31
Undosian34,2,$4.15,$8.30
Idai61,3,$2.74,$8.23
Lassimla92,2,$4.08,$8.17
Umolrian85,3,$2.71,$8.13
Zontibe81,3,$2.68,$8.03
Sondastsda82,3,$2.63,$7.89
Zhisrisu83,2,$3.94,$7.89
Aidaillodeu39,2,$3.93,$7.86
Sundirrala66,2,$3.89,$7.78
Tyaelorap29,2,$3.85,$7.71
Iaralsuir44,2,$3.81,$7.62
Idaidil28,2,$3.79,$7.59
Aiduecal76,2,$3.79,$7.58
Chanosian48,2,$3.76,$7.52
Malunil62,2,$3.76,$7.52
Hiasri33,2,$3.75,$7.49
Asur53,3,$2.48,$7.44
Tyida79,2,$3.70,$7.39
Ilosia37,2,$3.67,$7.35
Eusri70,2,$3.67,$7.34
Lirtilsa72,2,$3.67,$7.33
Leyirra83,2,$3.65,$7.30
Aelastirin39,2,$3.64,$7.29
Siala43,2,$3.63,$7.26
Pheosrinudeu70,2,$3.58,$7.16
Halaecal66,2,$3.55,$7.11
Quinarap53,2,$3.54,$7.07
Idairin51,2,$3.50,$7.00
Isri34,2,$3.48,$6.97
Siarithria38,2,$3.46,$6.91
Haisrisuir60,2,$3.43,$6.86
Lirtastsda29,2,$3.42,$6.84
Aelly27,2,$3.39,$6.79
Aithelis62,2,$3.39,$6.78
Seudaillorap38,2,$3.35,$6.71
Yalae81,2,$3.34,$6.69
Smaistysu35,2,$3.34,$6.69
